0,49,43
0,57,48
3,68,52
8,77,62
12,82,6
21,94,6
25,103,0
28,111,0
28,121,0
30,128,0
32,134,0
34,139,0
34,141,0
31,136,0
30,132,0
28,128,0
38,131,0
26,125,0
24,121,0
28,120,0
26,118,0
26,115,0
22,111,0
22,106,0
17,105,0
15,103,0
15,101,0
11,96,6
5,94,61
6,91,61
6,86,64
2,84,62
5,82,63
1,77,59
1,75,59
0,73,58
1,74,57
0,73,56
1,75,56
1,74,57
1,72,56
1,69,56
0,66,54
0,65,54
1,62,54
0,60,53
0,58,52
1,56,51
1,54,48
0,50,47
1,45,44
1,43,42
1,39,42
0,38,41
1,36,40
5,35,37
4,33,37
2,32,35
2,31,34
2,31,34
2,33,35
1,37,37
1,37,35
1,35,34
1,35,34
